mid. w2 +1 w1 w2 eos +2 eos mid. mid. -1	0 5	0 5
w2 +1 w2 eos -2 fin. eos +1 eos mid. -2 -1	0 0 0 1 2 2 2 3	0 0 0 1 2 2 2 3
mid. mid. mid. -1 w1 eos w1 eos w1 w3 +3 -1 -1 -2 mid.	0 7	0 7
w2 +3 mid. eos w2 eos eos eos eos -2 w3 mid.	0 0 0 1 4 4 4 5	0 0 0 1 4 4 4 5
mid. mid. w3 +2 -2 w2 -2 w1 eos +1 -2 w3 w3 mid.	0 6 4 2 2 2 2 3 5 5 5 6 4 2 2 2 2 3 5 5 5 6 4 2	0 6 4 2 2 2 2 3 5 5 5 6 4 2 2 2 2 3 5 5 5 6 4 2
w2 w1 -2 eos ini. ini. eos +2 -3 w2 -2 +3 w1 w2 eos w2 +1 mid.	0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2	0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2
w3 w1 +3 eos eos -3 eos w2 fin. eos eos mid. mid. mid.	0 0 0 0 1 1 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5	0 0 0 0 1 1 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5
mid. mid. +3 w3 rep. w2 w3 w1 +2 ini. w1 rep. w2 +1 rep. +2 rep. -3 mid. -3	0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9	0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9
mid. w2 -2 -1 +3 -3 -2 ini. -1 eos +3 -1 +1 eos -3 w2 +2 -1 mid.	0 9	0 9
+3 mid. +1 w2 rep. eos eos w3 -3 ini. -1 -2 -1 -3 -2 mid. mid.	0 3 3 3 4 4 4 5	0 3 3 3 4 4 4 5
mid. +3 w3 w2 -1 w1 eos eos +1 +2 mid. w1 mid.	0 6	0 6
mid. mid. w1 eos ini. +2 -1 +2 -3 eos rep. eos w3 -1 +3 fin. +2 -1 -1 mid.	0 9	0 9
w3 -1 +3 rep. -2 w2 rep. w3 -2 eos -3 fin. eos +1 w2 +1 mid. mid.	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
w2 w3 mid. -1 -3 -1 w3 -1 +3 w1 fin. w3 w3 eos w3 +2 -2 -2 mid.	0 0 0 1 1 1 1 2 9 9 10 18 9 9 10 18 9 9 10 18 9 9 10 18	0 0 0 1 1 1 1 2 9 9 10 18 9 9 10 18 9 9 10 18 9 9 10 18
+1 +3 +1 -2 -1 w3 +2 +2 eos w2 w1 mid. mid.	0 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4	0 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4
+1 w3 +2 -2 eos +1 -3 eos -1 +1 -1 mid.	0 1 1 1 1 2 4	0 1 1 1 1 2 4
w3 +3 mid. +3 ini. +3 w1 fin. ini. ini. fin. eos w2 -1 +1 +1 mid.	0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4	0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4
+2 +3 -1 +2 w3 w1 -3 -1 eos -1 +2 eos -3 rep. w3 mid. -3	0 2 1 4 4 4 4 5 5 6 3 5 5 6 3 5 5 6 3 5 5 6 3 5	0 2 1 4 4 4 4 5 5 6 3 5 5 6 3 5 5 6 3 5 5 6 3 5
+2 w3 +1 -2 w1 -1 -2 eos eos w2 rep. ini. -1 -3 mid.	0 2 3 1 1 1 1 2 3 1 1 1 1 2 3 1 1 1 1 2 3 1 1 1	0 2 3 1 1 1 1 2 3 1 1 1 1 2 3 1 1 1 1 2 3 1 1 1
w2 mid. mid. eos w2 eos eos -2 rep. +3 rep. w2 -2 -3	0 0 0 1 6	0 0 0 1 6
+1 w2 mid. +1 +1 +1 +2 w1 fin. fin. -2 w1 w2 -3	0 1 1 1 2 6 8 13 10 8 13 10 8 13 10 8 13 10 8 13 10 8 13 10	0 1 1 1 2 6 8 13 10 8 13 10 8 13 10 8 13 10 8 13 10 8 13 10
+1 +2 mid. -1 fin. eos +3 eos ini. +1 +3 fin. fin. -1 +1 +2 mid. -3 -2	0 1 3 2 9 10 13 12 18 16 9 10 13 12 18 16 9 10 13 12 18 16 9 10	0 1 3 2 9 10 13 12 18 16 9 10 13 12 18 16 9 10 13 12 18 16 9 10
w2 +1 +2 eos eos +2 -1 rep. -3 mid. w2 mid.	0 0 0 1 2 4	0 0 0 1 2 4
mid. mid. +1 w3 -1 eos -2 fin. w1 w2 -3 mid. mid. -1	0 6 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3	0 6 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
+2 -1 mid. fin. fin. -3 -3 +3 +2 -3 rep. w2 fin. -2 +2 +2 mid. -3 -2	0 2 9 6 3 18 16 9 6 3 18 16 9 6 3 18 16 9 6 3 18 16 9 6	0 2 9 6 3 18 16 9 6 3 18 16 9 6 3 18 16 9 6 3 18 16 9 6
+1 w2 +1 eos fin. eos w1 -1 fin. +2 mid. -1	0 1 1 1 2 3	0 1 1 1 2 3
+3 +3 mid. w3 +2 -1 eos rep. eos +1 -3 eos w3 w2 +1 mid.	0 3 3 3 3 4 6	0 3 3 3 3 4 6
w3 w2 mid. eos -3 +3 +2 +1 w3 mid. -2	0 0 0 0 1 1 1 2 5 8 8 8 8 9 5 8 8 8 8 9 5 8 8 8	0 0 0 0 1 1 1 2 5 8 8 8 8 9 5 8 8 8 8 9 5 8 8 8
w2 w1 -1 fin. fin. +3 +3 eos +1 rep. -1 w3 -1 +1 mid.	0 0 0 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2	0 0 0 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2
+3 +1 -1 -1 fin. rep. w2 w1 -1 ini. fin. +3 w2 -2 eos +2 -3 w3 w3 -3	0 3 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1	0 3 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1
+3 mid. -2 -2 w3 w3 -3 ini. -2 w2 +3 w3 mid. mid.	0 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1	0 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1 6 3 1
+1 +1 mid. eos w1 eos rep. ini. w3 +1 -3 mid.	0 1 2 5	0 1 2 5
+3 w3 +2 eos +1 w1 +3 eos +3 w3 +1 -1	0 3	0 3
w2 mid. mid. +1 eos +2 +3 -2 w2 -2 eos ini. -2 w1 mid.	0 0 0 1 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5	0 0 0 1 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5
mid. +1 mid. fin. +1 -3 fin. eos eos mid. -2 mid.	0 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5	0 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5 2 5
mid. w2 w1 w2 eos -1 +3 +3 +3 +3 w2 -1 +1 mid. -3	0 7 10 10 10 11 10 10 10 11 10 10 10 11 10 10 10 11 10 10 10 11 10 10	0 7 10 10 10 11 10 10 10 11 10 10 10 11 10 10 10 11 10 10 10 11 10 10
mid. mid. +1 w1 +1 -3 +1 -3 fin. +3 fin. -3 +1 eos mid. mid. mid.	0 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8	0 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8
+1 +2 -1 eos w2 w2 ini. eos -3 +1 w2 eos fin. mid. +1 -3	0 1 3	0 1 3
w1 +2 mid. w3 -2 -3 rep. -3 w1 eos w1 w1 mid.	0 0 1 3 3 3 3 4 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6	0 0 1 3 3 3 3 4 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
+2 w2 w3 -3 rep. -3 rep. ini. rep. mid. w2 mid.	0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3	0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3
mid. +1 w1 +2 w2 eos fin. ini. +3 +1 +1 +2 w3 -3 +1 w3 w1 -1 w1 -3	0 9 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10	0 9 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10 11 13 10
mid. -1 w2 w2 w3 +3 -3 +3 ini. rep. -1 eos rep. -2 +2 w3 +1 -2	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8
+2 w1 -1 +1 w3 ini. +3 w1 rep. -3 +1 -2 -1	0 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1	0 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1 1 2 1
mid. w1 +1 +2 -3 -2 w1 w2 eos -1 w1 mid.	0 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5	0 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5
w2 mid. mid. eos w2 eos +2 fin. fin. eos +1 ini. +2 w3 w2 ini. +1 +1 mid.	0 0 0 1 9	0 0 0 1 9
w3 -1 w3 w2 rep. +3 w3 +2 w3 eos +3 +3 -3 -1 mid.	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
mid. +1 +3 eos +2 eos eos eos +3 w1 mid. -1	0 5	0 5
+1 +2 mid. -2 ini. w2 +3 rep. eos rep. -1 rep. +1 +1 +2 +1 -3 mid.	0 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1	0 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1
w3 mid. +1 +3 ini. -1 -3 rep. -3 ini. rep. +2 +3 +1 rep. mid. mid. -1	0 0 0 0 1 8 5 4 0 0 0 0 1 8 5 4 0 0 0 0 1 8 5 4	0 0 0 0 1 8 5 4 0 0 0 0 1 8 5 4 0 0 0 0 1 8 5 4
mid. +2 w2 w3 eos +3 rep. -3 fin. +3 fin. ini. eos eos rep. +1 w1 -3 mid.	0 9 12	0 9 12
mid. +1 -2 +1 w1 +1 eos w1 eos rep. -1 +2 mid. w3 -3	0 7 7 8	0 7 7 8
+1 mid. +3 w3 eos eos eos eos w2 w1 w3 +2 -1 +1 w2 mid. mid.	0 1 8 8 8 9 9 10 10 10 10 11 13 14 14 14 15 8 8 8 9 9 10 10	0 1 8 8 8 9 9 10 10 10 10 11 13 14 14 14 15 8 8 8 9 9 10 10
mid. mid. w1 w1 fin. eos eos w1 eos eos -1 -3 -2 -1	0 6	0 6
w1 mid. w3 -2 -1 -1 -3 rep. fin. eos eos eos -2 w3 -2 w2 mid.	0 0 1 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8	0 0 1 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8 16 8
+3 +2 +2 eos w1 -2 eos ini. -3 -1 -2	0 3	0 3
+3 mid. w2 +3 rep. +2 eos eos eos ini. -2 +1 w2 mid.	0 3 6	0 3 6
w3 w2 mid. eos rep. -1 eos +1 +1 +1 -3	0 0 0 0 1 1 1 2 5 4 3	0 0 0 0 1 1 1 2 5 4 3
+1 mid. -2 ini. eos w1 +3 eos +2 +2 ini. -2 mid. -2	0 1 6 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9	0 1 6 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9 11 9
mid. mid. w2 eos +2 eos w3 eos -2 w3 fin. eos w2 w1 mid.	0 7	0 7
mid. +3 +3 w3 eos ini. ini. -3 +1 -1 w3 -2 eos w3 +2 mid. -3 mid.	0 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8	0 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8
+1 +1 w1 eos -3 eos -1 eos eos eos rep. +3 +1 -2 -1	0 1 2 2 3	0 1 2 2 3
+3 mid. w3 +3 +1 +1 w2 -1 fin. w3 w3 fin. -1 w3 fin. -2 w2 -3	0 3 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6	0 3 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6
w3 mid. w3 fin. w3 +3 -1 -3 +3 rep. fin. w2 ini. ini. -1 -1 -2 w2 w1 mid.	0 0 0 0 1 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9	0 0 0 0 1 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
+3 mid. +3 +3 +3 rep. eos eos mid. -3 -2	0 3 6	0 3 6
w1 w3 mid. +2 eos w3 eos eos rep. +3 +3 +2 w1 w2 mid.	0 0 1 1 1 1 2 7	0 0 1 1 1 1 2 7
w3 +3 mid. -3 ini. fin. +2 +1 w1 w1 -1 eos fin. +3 rep. eos +2 w1 w1 -2	0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4	0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4 0 0 0 0 1 4
w1 mid. w3 w2 w3 eos -2 eos +2 eos w1 -1 -3	0 0 1 6 4 4 4 4 5	0 0 1 6 4 4 4 4 5
+2 +2 +2 fin. +1 +3 w1 w2 -3 fin. -3 w2 w2 w1 eos ini. w1 -3 -1	0 2 4 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5	0 2 4 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5
+2 +3 +2 rep. rep. eos +2 eos -2 -1 -2 w3 -2 rep. -2 -1 w1 w3 mid.	0 2 4 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6	0 2 4 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6
mid. w2 +3 -3 fin. w1 +3 eos eos w2 +2 +3 w1 mid. -2	0 7	0 7
w3 +1 mid. +1 -2 -1 +3 eos mid. w3 -3	0 0 0 0 1 2 5 4 2 5 4 2 5 4 2 5 4 2 5 4 2 5 4 2	0 0 0 0 1 2 5 4 2 5 4 2 5 4 2 5 4 2 5 4 2 5 4 2
w2 mid. +3 -3 rep. +2 rep. w2 w2 eos +1 +1 rep. rep. w3 +1 w3 mid.	0 0 0 1 8 8 8 9	0 0 0 1 8 8 8 9
w1 w3 +3 -1 eos +2 eos +1 -1 w3 -2	0 0 1 1 1 1 2 5 7 8 7 8 7 8 7 8 7 8 7 8 7 8 7 8	0 0 1 1 1 1 2 5 7 8 7 8 7 8 7 8 7 8 7 8 7 8 7 8
w1 w2 -1 fin. ini. +1 eos -3 +1 +1 +1 -2 -3	0 0 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1	0 0 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1
w2 +1 +1 eos eos eos +2 eos eos fin. +2 w2 -1 mid. mid.	0 0 0 1 2 3	0 0 0 1 2 3
+2 w2 -1 eos eos ini. w2 w3 -2 mid. mid.	0 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1	0 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1
+3 mid. +1 +3 w1 eos fin. ini. w1 eos -3 +2 mid. mid.	0 3 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13	0 3 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13 6 13
mid. w1 w1 w3 -2 +3 eos eos fin. -3 w3 +1 +2 -3 -3 mid.	0 7	0 7
mid. +1 -1 +3 rep. w1 rep. -3 w1 w1 eos +2 eos ini. +1 +1 +1 mid. mid. mid.	0 9 9 10	0 9 9 10
+3 +3 w2 eos -1 +1 w3 -3 +3 eos mid. w1 mid.	0 3	0 3
+1 +1 mid. fin. -3 -3 -3 fin. +2 -2 -1 mid. mid. -3	0 1 2 6 3 13 10 9 7 13 10 9 7 13 10 9 7 13 10 9 7 13 10 9	0 1 2 6 3 13 10 9 7 13 10 9 7 13 10 9 7 13 10 9 7 13 10 9
w1 w3 +3 +1 +2 w1 +1 eos w2 -3 +3 w3 ini. fin. w3 -2 -1	0 0 1 1 1 1 2 5 5 6 7	0 0 1 1 1 1 2 5 5 6 7
+3 +1 +3 eos ini. +1 w3 +1 +1 -1 rep. ini. eos -1 -2 rep. +3 mid. +1 -1	0 3	0 3
mid. mid. w3 eos rep. +3 ini. +3 fin. w3 w2 +1 mid.	0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6	0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6 0 6
w1 -1 +1 eos eos w2 w2 eos -3 -1 mid.	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1
w1 w2 -2 +3 +3 w3 fin. eos -1 fin. -3 w3 ini. +2 -2 -3 mid. -3	0 0 1 1 1 2 0 0 1 1 1 2 0 0 1 1 1 2 0 0 1 1 1 2	0 0 1 1 1 2 0 0 1 1 1 2 0 0 1 1 1 2 0 0 1 1 1 2
w2 mid. mid. +1 eos +1 -1 eos +3 fin. ini. -3 w2 rep. +2 w2 mid. w3 -2	0 0 0 1 9 18 16 9 18 16 9 18 16 9 18 16 9 18 16 9 18 16 9 18	0 0 0 1 9 18 16 9 18 16 9 18 16 9 18 16 9 18 16 9 18 16 9 18
+1 mid. +1 -2 w1 eos -3 fin. fin. -3 +3 +3 w1 eos -3 +2 -3 w3 -1	0 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6	0 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6 3 1 9 6
w3 -1 w3 eos w1 w3 eos w1 w2 rep. +2 mid. mid.	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
w2 mid. w3 +2 rep. +1 fin. +2 +2 +3 +2 -3 eos -1 -2 -2 mid.	0 0 0 1 8 10 12	0 0 0 1 8 10 12
mid. w3 w1 +2 eos eos +2 fin. mid. mid. -2	0 5	0 5
+1 mid. mid. w1 ini. eos eos -3 w3 w3 -3	0 1 5	0 1 5
+2 mid. mid. ini. +1 -2 w3 +1 eos eos +2 ini. ini. eos w1 mid. -3	0 2 8	0 2 8
+1 +1 +1 +2 eos -1 eos +3 ini. -3 eos mid. mid. mid.	0 1 2 3 5 4	0 1 2 3 5 4
w1 w3 -2 w2 w1 w3 eos -3 ini. fin. eos -1 w2 -3 mid. mid.	0 0 1 1 1 1 2 0 0 1 1 1 1 2 0 0 1 1 1 1 2 0 0 1	0 0 1 1 1 1 2 0 0 1 1 1 1 2 0 0 1 1 1 1 2 0 0 1
mid. w3 w2 -3 -2 w1 +1 w2 eos eos w3 w2 -2	0 6 7 7 7 8	0 6 7 7 7 8
w1 w3 +1 w2 -2 fin. eos +2 eos +2 mid. -1	0 0 1 1 1 1 2 3 3 3 4 2 3 3 3 4 2 3 3 3 4 2 3 3	0 0 1 1 1 1 2 3 3 3 4 2 3 3 3 4 2 3 3 3 4 2 3 3
mid. +2 -2 w1 eos rep. +1 eos ini. w3 eos w1 fin. fin. w3 +2 w2 +1 +1 -2	0 9 9 9 9 10	0 9 9 9 9 10
w1 mid. mid. -3 -2 rep. rep. eos +3 eos rep. +1 rep. w2 mid. -2	0 0 1 7	0 0 1 7
+1 mid. -2 w1 w3 w2 -3 -3 -3 w2 -2 w1 w3 mid.	0 1 6 3 3 4 4 4 4 5 5 5 6 3 3 4 4 4 4 5 5 5 6 3	0 1 6 3 3 4 4 4 4 5 5 5 6 3 3 4 4 4 4 5 5 5 6 3
+3 +2 mid. w1 eos eos rep. w1 eos +1 +1 mid.	0 3 3 4	0 3 3 4
+1 w3 mid. eos w2 +3 -2 w2 -3 +2 -2 w2 +1 -1	0 1 1 1 1 2 6 4 4 4 5 8 5 8 5 8 5 8 5 8 5 8 5 8	0 1 1 1 1 2 6 4 4 4 5 8 5 8 5 8 5 8 5 8 5 8 5 8
w2 w1 mid. -1 eos eos +2 -2 +2 w2 -1	0 0 0 1 1 2 5	0 0 0 1 1 2 5
mid. +1 +2 -2 w1 w3 eos +1 eos +2 +1 -1 +2 -2 -2 mid.	0 7 8	0 7 8
w1 w2 fin. rep. -2 -3 -3 eos -2 +2 -3 mid.	0 0 1 1 1 2 11 5 2 11 5 2 11 5 2 11 5 2 11 5 2 11 5 2	0 0 1 1 1 2 11 5 2 11 5 2 11 5 2 11 5 2 11 5 2 11 5 2
w2 mid. +1 eos w1 rep. -1 +1 w2 -2 w2 ini. ini. -2 +1 -2 ini. +2 w2 -1	0 0 0 1 9 7 8 8 8 9 7 8 8 8 9 7 8 8 8 9 7 8 8 8	0 0 0 1 9 7 8 8 8 9 7 8 8 8 9 7 8 8 8 9 7 8 8 8
w2 +2 -1 eos eos eos w1 w3 ini. -3 +3 w1 w2 +1 fin. -2 w2 -1	0 0 0 1 3	0 0 0 1 3
w3 +3 w1 w3 eos -2 eos +2 eos w1 -2 -2	0 0 0 0 1 4	0 0 0 0 1 4
w1 w1 mid. fin. w1 ini. +3 +3 fin. w3 -3 -1 -1 -1 -1 rep. -1 w1 mid.	0 0 1 1 2 9 9 9 9 10 7 10 7 10 7 10 7 10 7 10 7 10 7 10	0 0 1 1 2 9 9 9 9 10 7 10 7 10 7 10 7 10 7 10 7 10 7 10
+3 mid. w1 +3 w2 eos ini. +2 rep. eos -2 w3 mid.	0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6	0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6 0 3 6
mid. -1 w3 w1 -3 eos -3 eos +1 +2 +3 w1 -1 fin. -2 +1 w3 mid.	0 8 9 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12	0 8 9 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12
mid. w1 +3 +1 eos -3 rep. w2 w1 rep. w1 w1 w3 mid. mid. -2	0 7 7 7 8 8 9 9 10 10 11 11 12 12 12 12 13 7 7 7 8 8 9 9	0 7 7 7 8 8 9 9 10 10 11 11 12 12 12 12 13 7 7 7 8 8 9 9
+1 mid. -1 ini. eos -2 w3 eos -1 mid. mid.	0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3	0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3 0 1 5 3
mid. w1 +2 +2 w3 rep. +2 eos eos -2 -3 ini. -3 mid. +1 mid.	0 7	0 7
mid. +1 +3 +1 w3 w2 rep. w1 +3 mid. mid. mid.	0 5 5 5 6 6 6 7 7 8 11 5 5 5 6 6 6 7 7 8 11 5 5 5	0 5 5 5 6 6 6 7 7 8 11 5 5 5 6 6 6 7 7 8 11 5 5 5
w1 mid. -1 eos eos w3 rep. +2 w2 +2 w1 mid.	0 0 1 5 5 5 5 6 6 6 6 7 9 11 5 5 5 5 6 6 6 6 7 9	0 0 1 5 5 5 5 6 6 6 6 7 9 11 5 5 5 5 6 6 6 6 7 9
mid. -1 w2 +2 +2 -2 rep. -3 -2 w1 mid. w2 mid.	0 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6	0 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
w2 w2 +1 eos rep. rep. -3 w1 mid. mid. -2	0 0 0 1 1 1 2 3	0 0 0 1 1 1 2 3
+2 -1 w3 ini. -1 w1 +3 eos fin. fin. -2 -3 rep. w1 w1 -1	0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3	0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3 0 2 2 2 2 3
+2 -1 +2 eos eos eos eos w2 w1 w2 +1 w2 w3 mid.	0 2 4	0 2 4
+3 +3 -1 eos +3 +3 w2 w1 -2 w1 +1 -3 -2 rep. w3 mid. mid.	0 3	0 3
mid. w2 w3 ini. -2 -3 eos eos +3 eos +1 eos mid.	0 6	0 6
w1 w1 -2 eos -3 eos +1 +3 ini. +1 +1 -2	0 0 1 1 2 0 0 1 1 2 0 0 1 1 2 0 0 1 1 2 0 0 1 1	0 0 1 1 2 0 0 1 1 2 0 0 1 1 2 0 0 1 1 2 0 0 1 1
w3 w3 mid. w3 eos +3 +2 -1 eos -3 +3 -2 +3 w2 mid. -2	0 0 0 0 1 1 1 1 2 7 6 8	0 0 0 0 1 1 1 1 2 7 6 8
+2 -1 mid. +3 eos eos +1 w1 w3 -1 mid.	0 2 5	0 2 5
mid. w2 mid. -1 eos eos +2 eos -2 +1 rep. w2 -3 -3 mid.	0 7	0 7
+2 mid. w1 +2 -3 w2 -2 +3 -2 -2 eos eos w3 eos w2 w2 -1 w1 w2 -2	0 2 2 3 5 5 5 6 4 1 9 7 10	0 2 2 3 5 5 5 6 4 1 9 7 10
mid. mid. w3 ini. +3 rep. +1 +3 eos mid. -3 -3	0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5	0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
+3 +1 w3 -1 -1 fin. -1 eos ini. -2 +2 w1 -2 -2 -1	0 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2	0 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2
mid. w3 +3 +2 fin. +1 w2 +1 fin. ini. rep. eos +3 eos mid. mid. -1	0 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16	0 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16 15 8 16
w2 w3 w2 eos eos -2 eos +3 fin. -1 -3 -1 mid.	0 0 0 1 1 1 1 2 2 2 3	0 0 0 1 1 1 1 2 2 2 3
mid. mid. mid. eos +1 w2 fin. eos w3 +1 w2 +1 -2 -3	0 6 13 10 10 10 11 12 10 10 10 11 12 10 10 10 11 12 10 10 10 11 12 10	0 6 13 10 10 10 11 12 10 10 10 11 12 10 10 10 11 12 10 10 10 11 12 10
+3 +3 w3 +3 +2 eos +2 w2 rep. eos mid. mid. mid.	0 3 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6	0 3 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6 8 10 6
